County,Quarterly Establishments,July Employment,August Employment,September Employment,Total Quarterly Wages,Average Weekly Wage
U.S. TOTAL,11720346,132133586,132126358,131646864,2.2787E+12,1328
Pennsylvania,379412,5341336,5324994,5323228,88393488707,1276
Adams County Pennsylvania,2124,30005,30153,30169,377172551,964
Allegheny County Pennsylvania,36067,607084,604916,604039,10970521230,1394
Armstrong County Pennsylvania,1324,13415,13542,13560,161261607,918
Beaver County Pennsylvania,3449,42229,41878,41576,571691595,1050
Bedford County Pennsylvania,1086,14410,14436,14397,169522910,905
Berks County Pennsylvania,8646,153451,153389,153175,2344035526,1176
Blair County Pennsylvania,3332,50441,50286,50263,623556355,953
Bradford County Pennsylvania,1423,19894,19780,19720,282660977,1098
Bucks County Pennsylvania,20929,250154,249646,246474,3706492855,1146
Butler County Pennsylvania,5143,77664,77516,76593,1160383686,1155
Cambria County Pennsylvania,3074,40123,39927,40510,463829862,888
Cameron County Pennsylvania,129,1316,1339,1342,17041663,984
Carbon County Pennsylvania,1220,13843,13684,13463,151269025,852
Centre County Pennsylvania,3484,44306,44612,45174,585737561,1008
Chester County Pennsylvania,16257,230590,229261,227714,4607451811,1546
Clarion County Pennsylvania,982,9973,10011,10008,105979523,815
Clearfield County Pennsylvania,1894,25059,25045,24867,295765441,910
Clinton County Pennsylvania,825,10552,10500,10607,129791155,946
Columbia County Pennsylvania,1446,21193,21101,21196,247756773,901
Crawford County Pennsylvania,1991,25583,25490,25470,297796481,898
Cumberland County Pennsylvania,6779,122111,121551,121486,1849159129,1169
Dauphin County Pennsylvania,7393,153475,153902,151281,2405350953,1210
Delaware County Pennsylvania,14253,196860,195815,195803,3306141413,1296
Elk County Pennsylvania,897,12364,12371,12240,153034062,955
Erie County Pennsylvania,6477,105009,104280,105131,1294753135,950
Fayette County Pennsylvania,2595,32445,32370,32394,377056006,895
Franklin County Pennsylvania,3249,51671,51576,51868,661336758,984
Fulton County Pennsylvania,269,4639,4654,4629,60039025,995
Greene County Pennsylvania,736,9389,9297,9561,151107253,1234
Huntingdon County Pennsylvania,877,9654,9669,9519,101055262,809
Indiana County Pennsylvania,1807,22794,22759,23113,293949140,988
Jefferson County Pennsylvania,1104,13056,12980,12949,150102982,889
Juniata County Pennsylvania,509,5934,5921,5931,66562460,864
Lackawanna County Pennsylvania,5371,86384,86181,87291,1080420682,959
Lancaster County Pennsylvania,14303,233210,232554,231599,3266163775,1081
Lawrence County Pennsylvania,1919,24097,24221,24100,298980091,953
Lebanon County Pennsylvania,2825,44869,44816,44689,566378468,973
Lehigh County Pennsylvania,8806,183850,183665,183275,3016376403,1264
Luzerne County Pennsylvania,7221,128437,128699,129699,1671274103,997
Lycoming County Pennsylvania,2886,43082,42894,42662,564175519,1012
McKean County Pennsylvania,981,11650,11702,11773,136755765,898
Mercer County Pennsylvania,2682,38716,38608,38611,480443431,956
Mifflin County Pennsylvania,1007,14729,14681,14558,183523973,963
Monroe County Pennsylvania,3528,48384,48338,46728,568185408,914
Montgomery County Pennsylvania,28681,472864,469925,467470,9155225009,1498
Montour County Pennsylvania,429,15332,15466,15317,342300101,1713
Northampton County Pennsylvania,6800,107324,107397,107396,1495088915,1071
Northumberland County Pennsylvania,1674,24501,24345,23613,291688487,929
Perry County Pennsylvania,817,6057,6188,6294,59292047,738
Philadelphia County Pennsylvania,33913,597997,595978,604605,11608832591,1489
Pike County Pennsylvania,1082,11479,11128,9761,99695623,711
Potter County Pennsylvania,394,3994,3955,3899,50814434,990
Schuylkill County Pennsylvania,2807,42500,42462,42303,549069975,996
Snyder County Pennsylvania,912,13746,13657,13771,146511798,821
Somerset County Pennsylvania,1718,19227,19255,19207,226767163,907
Sullivan County Pennsylvania,157,1259,1172,1045,10215166,678
Susquehanna County Pennsylvania,901,7568,7459,7341,88186659,910
Tioga County Pennsylvania,896,10463,10508,10496,129715176,951
Union County Pennsylvania,954,15093,15034,15020,196403240,1004
Venango County Pennsylvania,1144,14289,14148,14122,169676145,920
Warren County Pennsylvania,833,11200,11081,11149,129971125,897
Washington County Pennsylvania,5473,80179,79817,78989,1284355074,1240
Wayne County Pennsylvania,1359,14445,13505,12534,153290982,874
Westmoreland County Pennsylvania,8804,117516,117192,116361,1543719874,1015
Wyoming County Pennsylvania,662,8236,8284,8209,123664280,1154
York County Pennsylvania,9162,163761,164003,163689,2403189884,1128
